"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Internet of Things Milk Spectrum Profiling for Industry 4.0 Dairy and Milk Manufacturing","A. Yavari; D. Georgakopoulos; H. Agrawal; H. Korala; P. P. Jayaraman; J. Karabotić Milovac","Internet of Things Lab, Digital Research Innovation Capability Platform Department of Computer Science and Software Engineering, Swinburne University of Technology, Melbourne, Australia; Internet of Things Lab, Digital Research Innovation Capability Platform Department of Computer Science and Software Engineering, Swinburne University of Technology, Melbourne, Australia; Internet of Things Lab, Digital Research Innovation Capability Platform Department of Computer Science and Software Engineering, Swinburne University of Technology, Melbourne, Australia; Internet of Things Lab, Digital Research Innovation Capability Platform Department of Computer Science and Software Engineering, Swinburne University of Technology, Melbourne, Australia; Internet of Things Lab, Digital Research Innovation Capability Platform Department of Computer Science and Software Engineering, Swinburne University of Technology, Melbourne, Australia; Internet of Things Lab, Digital Research Innovation Capability Platform Department of Computer Science and Software Engineering, Swinburne University of Technology, Melbourne, Australia",2020 International Conference on Information Networking (ICOIN),"2 Mar 2020","2020","","","342","347","Determining the quality of milk (i.e., fat and protein content) in inbound supply chains of the milk processing industry is important for separating the inbound milk by quality and for producing premium milk products with the higher quality milk. However, existing methods of milk quality monitoring are based on the manual testing of milk samples for quality purposes that today are performed in labs located at the processing plants. Due to this, the milk supply is mixed for delivery before it can be tested. This paper presents an Internet of Things solution for milk-quality monitoring at the farm before pick up. The proposed solution is low-cost so that it can be deployed at virtually all dairy farms.","1976-7684","978-1-7281-4199-2","10.1109/ICOIN48656.2020.9016608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9016608","Internet of Things (IoT);Industry 4.0;Milk Quality Monitoring;Contextual Sensing;Smart Farming","Dairy products;Monitoring;Fats;Proteins;Optical sensors","","11","","27","IEEE","2 Mar 2020","","","IEEE","IEEE Conferences"
"Implementation of AES Cryptography to Smart Farming Data using IoT Under Agile Framework","A. Badhan; S. S. Malhi; H. Singh; G. Kaur; S. Bharany","School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; Chitkara University Institute of Engineering and Technology Chitkara University, Punjab, India; Chitkara University Institute of Engineering and Technology Chitkara University, Punjab, India","2024 8th International Conference on Electronics, Communication and Aerospace Technology (ICECA)","24 Dec 2024","2024","","","541","546","Internet of Things (IoT) is evolving in every field day by day due to the demand of smart models. Here smart models meaning designed embedded system connected over a network helping in analysis or monitoring. As the transmission medium for data is the internet, vulnerability always exist to the security of data, or the information is being generated from sensors. So, to provide multilayered security to our smart models such as smart farming, smart homes, smart watches etc., this study will show the demonstration of how encryption and decryption algorithms can be integrated with IoT models. Integration of cryptographic algorithms makes our data transmission more secure, reliable and avoids the potential cyber-attacks of data breaching which can also affect the security matrices at national level for any country. Moreover, cryptography to this article will also showeasing that how to make our smart models more flexible than traditional by designing it under Agile framework such as SCRUM which also offers better relationships among organizations and clients. So overall this study is well shows you implementation of cryptography algorithm in IoT for secure data transmission of our information generated by sensors in smart farming and designing the monitoring interface for user on Blynk platform under Agile framework principles.","","979-8-3503-6790-4","10.1109/ICECA63461.2024.10800999","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10800999","Smart Farming;IoT;Cryptography;Encryption;Decryption;AES;Agile framework;Scrum;Networks;Wireless Sensor Networks;Blynk;Cloud Data;Project Management etc","Smart agriculture;Cloud computing;Smart homes;Data models;Encryption;Data communication;Internet of Things;Intelligent sensors;Monitoring;Cyberattack","","5","","16","IEEE","24 Dec 2024","","","IEEE","IEEE Conferences"
"Design and development of an IoT-based smart hydroponic system","A. Munandar; H. Fakhrurroja; I. F. A. Anto; R. P. Pratama; J. W. Wibowo; T. I. Salim; M. I. Rizqyawan","Technical Implementation Unit for Instrumentation Development, Indonesian Institute of Sciences, Bandung, Indonesia; Technical Implementation Unit for Instrumentation Development, Indonesian Institute of Sciences, Bandung, Indonesia; Technical Implementation Unit for Instrumentation Development, Indonesian Institute of Sciences, Bandung, Indonesia; Technical Implementation Unit for Instrumentation Development, Indonesian Institute of Sciences, Bandung, Indonesia; Technical Implementation Unit for Instrumentation Development, Indonesian Institute of Sciences, Bandung, Indonesia; Technical Implementation Unit for Instrumentation Development, Indonesian Institute of Sciences, Bandung, Indonesia; Technical Implementation Unit for Instrumentation Development, Indonesian Institute of Sciences, Bandung, Indonesia",2018 International Seminar on Research of Information Technology and Intelligent Systems (ISRITI),"14 Oct 2019","2018","","","582","586","One of the main issues of human civilization is how to fulfill the food needs. Food and Agriculture Organization (FAO) of the United Nations predicted that in 2050 the world population will grow to 9.1 billion people. It means that food production needs to be raised by 70% between 2005 and 2050 in order to feed a world population of 9.1 billion people. UN also predicts that 60% of the global population will live in urban areas by 2030. This will lead to the expansion of the metropolitan area of the city and conversely the reduction of agricultural land. On the other hand, the development of technology in the area of IT leads to the appearance of technology called the Internet of Things (IoT). In this paper, we present the design, development, and implementation of our preliminary research about the smart hydroponic system using the IoT concept to connect it to the cloud server.","","978-1-5386-7422-2","10.1109/ISRITI.2018.8864340","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8864340","internet of things;smart farming;hydroponics","Sensors;Internet of Things;Agriculture;Prototypes;Cloud computing;Urban areas;Actuators","","16","","31","IEEE","14 Oct 2019","","","IEEE","IEEE Conferences"
"Integration of the Mobile Robot and Internet of Things to Collect Data from the Agricultural Fields","H. Durmuş; E. O. Güneş","Electronics and Communication Engineering Department, Istanbul Technical University, Maslak, Istanbul, Turkey; Electronics and Communication Engineering Department, Istanbul Technical University, Maslak, Istanbul, Turkey",2019 8th International Conference on Agro-Geoinformatics (Agro-Geoinformatics),"2 Sep 2019","2019","","","1","5","Robotics and Internet of Things (IoT) are two hot topics in the research area. There are studies in the literature that combine these two topics. In this study, robotics and IoT are used for the agricultural fields. Because, with the technology becoming more available on agriculture; food security, crop yield will be increased and the environmental hazards will be decreased. But this can be achieved by strictly monitoring the agricultural fields and greenhouses. For these purposes, static sensors or sensor networks, and mobile agents are used. IoT forms the backbone of such systems because there are too many units in different places and a lot of data is coming out from these units. Also, processing this data reveals the big data problem. Purpose of this work is integrating the mobile robot platform to gather data from the agricultural fields or greenhouses and then post this gathered data to the web application. So that, data can be stored, processed, and classified on the web application or cloud. This study proposes a design scheme for the mobile internet of things concept where the client or the agent is the mobile robot whether it is autonomous or not. Furthermore, the design structure is not limited to the mobile ground vehicle. Any type of unmanned vehicle or static sensor can be integrated into the system. Internet connection is not limited to only Wi-Fi, there is also a cellular connection in the system. With this study, mobile data acquisition and transferring this acquired data to the web application can be done. Also, the infrastructure of the mobile agent-based internet of things system is shown. On the robot side, autonomy can be added to the system.","","978-1-7281-2116-1","10.1109/Agro-Geoinformatics.2019.8820578","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820578","robotics;internet of things;cloud;data acquisition;precision agriculture;smart farming","Robot sensing systems;Servers;Sensor systems;Temperature sensors;Agriculture","","16","","13","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Modeling and Simulink of Smart Agriculture Using IoT Framework","T. Krongthong; B. Muangmeesri","Department of Technology Management, Valaya Alongkorn Rajabhat University under the Royal Patronage, Pathumthani, Thailand; Department of Technology Management, Valaya Alongkorn Rajabhat University under the Royal Patronage, Pathumthani, Thailand",2019 1st International Conference on Cybernetics and Intelligent System (ICORIS),"21 Oct 2019","2019","1","","185","188","The purpose of this research also support involved for three agri-food such as fruit, vegetable, and organic delivery using the internet of things (IoT) framework. In Thailand, the effects of the ecosystem are also a problem such as water, soil, and bad weather conditions. A model tuning scheme is a test and control for smart agriculture using IoT framework. The process can monitor the environment via personal computer (PC) and mobile phone. Once have implemented the Fuzzy Logic Controller (FLC) and resolving the modeling and the Simulink in the system. Overall, the IoT framework developed will monitor to check all conditions and performance results as well as help the framers improved various operations of smart agriculture is discussed.","","978-1-7281-1474-3","10.1109/ICORIS.2019.8874914","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8874914","IoT techniques;smart agriculture;modeling and simulation;fuzzy logic controller","Agriculture;Internet of Things;Monitoring;Sensors;Soil moisture;Software packages;Fuzzy logic","","8","","13","IEEE","21 Oct 2019","","","IEEE","IEEE Conferences"
"Meta-Model Approach of Applied Devops on Internet of Things Ecosystem","B. El Khalyly; A. Belangour; A. Erraissi; M. Banane","Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco; Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco; Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco; Laboratory of Information Technology and Modeling, Faculty of sciences Ben M'sik, Hassan II University, Casablanca, Morocco","2020 IEEE 2nd International Conference on Electronics, Control, Optimization and Computer Science (ICECOCS)","14 Jan 2021","2020","","","1","6","DevOps is a software development and distribution process. It combines an entire culture of collaboration and fusion between management approach, technologies of coding and technics of integration. DevOps is a new paradigm and novel concept that is introduced in different industries that concerns software and embedded development like robotics and smart agent.The ecosystem of the Internet of Things is a set of physical devices such as sensors and actuators. It includes a set of servers and gateways that provide connectivity. These devices can be installed at three levels: the edge level, the fog level and the cloud level. Applications that monitor things and collect data from sensors are deployed at the edge, fog and cloud levels. These applications can be containerized and deployed in different devices by Docker, which takes advantage of its advantage to create executable containers that are isolated from each other. This paper presents a generic metamodel of the Internet of Things ecosystem based on microservices and supported by Docker as a containerization tool and Ansible as a monitoring tool. This metamodel allows us to generate a system of connected objects that can be deployed on three levels: Fog, Edge, Cloud. This metamodel can be used in different types of domains such as Smart Home - Smart City - Smart Vehicle - Smart Health - Smart Farm - Smart Factory. The metamodel proposed in this article is a fusion between 5 metamodels: Internet of Things - Microservices - Ansible - Docker - Kubernetes.","","978-1-7281-6921-7","10.1109/ICECOCS50124.2020.9314552","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314552","Model Driven Engineering;metamodeling;Microservices;Internet of Things;Devops;Docker;Ansible;Kubernetes","Ecosystems;Internet of Things;Containers;Tools;Monitoring;Cloud computing;Actuators","","","","22","IEEE","14 Jan 2021","","","IEEE","IEEE Conferences"
"Cloud-Based Processing on Drone Imaging for Precision Agriculture","J. R. M. Cam; E. G. S. de la Cruz; F. M. S. López; V. G. R. Urbano","School of Science and Engineering, Pontifical Catholic University of Peru, Lima, Peru; Faculty of Industrial Engineering, National University of San Marcos, Lima, Peru; Department of Engineering, Pontifical Catholic University of Peru, Lima, Peru; Faculty of Industrial Engineering, National University of San Marcos, Lima, Peru",2023 IEEE 14th International Conference on Software Engineering and Service Science (ICSESS),"31 Oct 2023","2023","","","10","14","The agricultural industry plays a crucial role in society and consistently invests large quantities of money. This is because the process of growing crops involves varied processes that are often time-consuming. In most countries, manual labor is still a key component of agriculture. However, with current technologies, many processes in precision agriculture can be automated or improved. Among these is traditional plant health inspection, which is often time-consuming and inefficient. The research gap this paper is trying to handle is about the difficult task of continuously monitoring crops. This paper aimed to address this challenge by proposing an innovative solution for assessing plant health, which applied cloud-based processing for aerial images. It was inspired by existing drone projects, as well as the Internet of Things technology. It used data captured from drone sensors and processed it automatically in the cloud. The software architecture used to achieve this was guided by the Attribute-Driven Design (ADD) methodology. According to the findings of the study, 430 ms was the average response time for plant state classification. Moreover, the cloud architecture was capable of sending an alarm if an unusual state was reached. Finally, a colored map was created to enable better visualization.","2327-0594","979-8-3503-3627-6","10.1109/ICSESS58500.2023.10293111","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10293111","cloud;ADD;drones;precision agriculture;software","Cloud computing;Software architecture;Soft sensors;Crops;Data visualization;Computer architecture;Watches","","","","8","IEEE","31 Oct 2023","","","IEEE","IEEE Conferences"
"Software Development of Remote Control System for Water Treatment Equipment Based on Internet of Things Technology","R. Dong; W. Wu; F. Liu; J. Li; H. Hu; W. Liu; J. Li","Jilin Provincial Academy of Agricultural Machinery, Changchun, China; College of Biological and Agricultural Engineering, Jilin University, Changchun, China; Jilin Provincial Academy of Agricultural Machinery, Changchun, China; Jilin Provincial Academy of Agricultural Machinery, Changchun, China; Jilin Provincial Academy of Agricultural Machinery, Changchun, China; Jilin Provincial Academy of Agricultural Machinery, Changchun, China; Jilin Provincial Academy of Agricultural Machinery, Changchun, China",2018 International Conference on Robots & Intelligent System (ICRIS),"12 Jul 2018","2018","","","33","39","Software development is the process of building software systems or parts of a system based on user requirements. The software development of remote control system for water treatment equipment based on internet of things technology is a software system developed based on Labview, a graphical programming language. It has the features of clear graphical interface and convenient operation. The water treatment system developed by this project mainly realizes automatic control of the water treatment system through the monitoring and management of datasocket cornection through the sensor, and this kind of control method realizes the automatic chain start-stop of the water treatment system equipment, which greatly reduces the interval time between the devices and the idle time of the equipment. It is a safe and effective control plan.","","978-1-5386-6580-0","10.1109/ICRIS.2018.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8410226","Internet of Things Technology;Water Treatment;Remote Control System;Software Development","Conferences;Robots;Intelligent systems","","","","7","IEEE","12 Jul 2018","","","IEEE","IEEE Conferences"
"A Smart Farming : Implementation Of Iot Based Automated Agricultural Monitoring System","S. Muthusundari; M. Manuteja; N. Yeshwanth; K. K. Reddy; M. I. Habelalmateen; S. Ritwika","Computer Science and Engineering (CSE), R.M.D. Engineering College, Kavaraipettai, Tiruvallur, Tamil Nadu, India; Computer Science and Engineering (CSE), R.M.D. Engineering College, Kavaraipettai, Tiruvallur, Tamil Nadu, India; Computer Science and Engineering (CSE), R.M.D. Engineering College, Kavaraipettai, Tiruvallur, Tamil Nadu, India; Computer Science and Engineering (CSE), R.M.D. Engineering College, Kavaraipettai, Tiruvallur, Tamil Nadu, India; The Islamic University, Najaf, Iraq; GRIET, Hyderabad, Telangana, India",2023 International Conference for Technological Engineering and its Applications in Sustainable Development (ICTEASD),"10 Jul 2024","2023","","","13","19","Agricultural sector contributes about 18.3% to the economy of India. Agricultural improvements can be brought about to increase the contribution towards the Indian economy. 60% of Indian population relies on agriculture as this sector remains the backbone of Indian economy. The implementation of IoT in the agricultural sector to help the agricultural production process has improved the yield per acre for the crops and improve the status of the dependents of the Agricultural sector. Aim: to design and develop an IoT based automated Agricultural monitoring system for monitoring the parameters of humidity, soil moisture, soil ph. Methods: ESP32 SoC microcontroller was employed integrated with gas and temperature sensor and LCD monitor was connected for convenience and easy monitoring of parameters. Results: the above setup in a Agricultural field recorded the ph, humidity and soil moisture and based on the Pesticide liquid pump motor was turned off according to the programmed scheme. Discussion: the application of IoT in the monitoring of soil through various parameters improved the crop monitoring and eliminated the need of manual labor at the site. This provides a better and cheap alternative to the available automated systems in the field. Conclusion: The framework of the mechanized micro-irrigation system executed was discovered to be possible and astute for improving water assets for agricultural creation. The project provided an opportunity to examine the current buildings, together with their benefits and drawbacks, and led to the construction of a device to monitor soil moisture levels. The aforementioned device can be used to automate irrigation, one of farming's most time-consuming tasks, by turning on and off the water sprinkler in accordance with soil moisture levels. The water irrigation system framework enables development in areas of water scarcity along these lines, improving sustainability. The water irrigation system framework helps the farmer to do a better job.","","979-8-3503-3647-4","10.1109/ICTEASD57136.2023.10585190","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10585190","Agricultural;Soil Moisture;irrigation;sensors;IoT;LORAWAN","Temperature sensors;Temperature measurement;Irrigation;Soil moisture;Manuals;Turning;Task analysis","","1","","31","IEEE","10 Jul 2024","","","IEEE","IEEE Conferences"
"Usability Evaluation Driven by Cooperative Software Description Framework","L. Liang; X. Deng; Y. Wang","Faculty of Computer Science, Guangdong University of Technology, Guangzhou, China; College of Engineering, South China Agriculture University Guangzhou, China; College of Engineering, South China Agriculture University Guangzhou, China",2009 International Joint Conference on Computational Sciences and Optimization,"7 Aug 2009","2009","1","","364","366","The usability problems of CSCW system mainly come from two aspects of limitation. On the higher level, it lacks sufficient simulation of the use-context influenced by social, political and organizational features; on the lower level, it lacks suitable measurement and description of basic collaborative behavior happened in common cooperative activities. However, the traditional task-based user interface models and discount usability inspection methods can not address the above problems. Therefore, an overall framework for describing CSCW system was proposed in this paper from the perspective of usability evaluation. This framework covers all aspects in understanding the use-context, so that it is very helpful to better instruct low-cost usability walkthrough technique in the early stage of software development cycle to detect usability problems.","","978-0-7695-3605-7","10.1109/CSO.2009.133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5193714","CSCW;usability evaluation;framework","Usability;Collaborative work;Collaboration;Computational modeling;Inspection;Programming;Computer science;Educational institutions;Agricultural engineering;Agriculture","","","","8","IEEE","7 Aug 2009","","","IEEE","IEEE Conferences"
